datetime,distance (km),moving time ,elevation (m),avg power(W),Energy output (kJ),avg speed (km/h),HR,calories,bike,
4/18/2018 8:24,20.56,1:15:29,206,50,227,16.3,121,254,HCM,
4/23/2018 18:14,19.78,1:18:01,170,39,185,15.2,150,206,HCM,
4/23/2018 8:10,21.4,1:14:43,220,55,247,17.2,138,276,HCM,A
4/30/2018 18:07,22.02,1:20:05,189,46,221,16.5,141,246,HCM,
5/1/2018 8:05,20.75,1:14:15,212,53,236,16.8,129,264,HCM,J
5/8/2018 8:09,21.09,1:10:52,209,59,252,17.9,111,281,HCM,J
5/8/2018 18:07,16.71,1:02:42,145,46,173,16,126,192,HCM,J
5/15/2018 7:11,20.25,1:31:36,213,38,212,13.3,129,236,HCM,
5/18/2018 7:13,26.58,1:30:34,240,60,328,17.6,123,366,HCM,D
5/21/2018 8:05,20.84,1:12:17,207,59,256,17.3,114,285,HCM,
5/25/2018 7:27,20.68,1:03:01,209,73,276,19.7,127,308,HCM,D 
5/25/2018 15:32,21.15,1:15:11,174,46,208,16.9,130,232,HCM,D
5/29/2018 8:07,20.58,1:07:03,205,62,250,18.3,118,279,HCM,J
5/29/2018 18:33,20.16,1:22:12,107,33,163,14.7,103,182,HCM,355 S
6/1/2018 7:21,20.74,1:09:01,204,62,257,18,121,286,HCM,D
6/1/2018 17:41,22.99,1:25:13,183,46,235,16.2,111,262,HCM,D
6/3/2018 8:03,21.63,1:10:12,225,63,365,18.5,116,295,HCM,J
6/3/2018 17:55,21.43,1:12:14,178,51,222,17.8,113,248,HCM,
6/8/2018 7:30,20.87,1:04:07,210,72,276,19.5,137,308,HCM,D
6/8/2018 17:36,20.85,1:13:26,173,47,208,17,115,232,HCM,
6/21/2018 8:00,20.8,1:08:17,207,60,247,18.3,126,276,HCM,
6/21/2018 18:00,21,1:08:22,175,55,228,18.5,118,255,HCM,
6/25/2018 8:06,20.85,1:09:53,211,59,246,17.9,118,274,HCM,
6/25/2018 18:08,21.07,1:08:46,180,56,230,18.4,116,257,HCM,
6/29/2018 8:24,21.04,1:07:16,209,63,253,18.8,135,282,HCM,
6/29/2017 18:16,21.06,1:01:44,175,66,245,20.5,128,273,HCM,
7/6/2018 7:31,21.06,1:11:54,206,58,249,17.6,117,278,HCM,
7/6/2018 17:59,22.51,1:13:31,193,55,243,18.4,109,271,HCM,
7/12/2018 8:00,20.88,1:09:51,202,59,248,17.9,119,287,HCM,
7/12/2018 17:41,21.05,1:07:10,173,56,225,18.8,116,252,HCM,
7/19/2018 7:37,21.08,1:13:00,214,56,246,17.3,110,249,HCM,
7/19/2018 17:37,21.08,1:12:00,171,50,216,17.4,106,238,HCM,
8/9/2018 7:40,17.16,0:58:17,181,59,206,17.7,121,245,HCM,
8/9/2018 17:44,16.05,0:53:39,146,52,168,18,113,190,HCM,
